,日期,天气状况,气温,风力风向
1694,2015年08月22日,阵雨/阵雨,30℃/20℃,无持续风向≤3级/无持续风向≤3级
1695,2015年08月23日,雷阵雨/阵雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
1696,2015年08月24日,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
1697,2015年08月25日,多云/多云,30℃/21℃,无持续风向≤3级/无持续风向≤3级
1698,2015年08月26日,多云/多云,31℃/21℃,无持续风向≤3级/无持续风向≤3级
1699,2015年08月27日,多云/多云,31℃/21℃,无持续风向≤3级/无持续风向≤3级
1700,2015年08月28日,多云/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
1701,2015年08月29日,雷阵雨/雷阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
1702,2015年08月30日,雷阵雨/小到中雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
1703,2015年08月31日,小到中雨/小到中雨,25℃/18℃,无持续风向≤3级/无持续风向≤3级
1704,2015年09月01日,阵雨/阴,25℃/18℃,无持续风向≤3级/无持续风向≤3级
1705,2015年09月02日,多云/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
1706,2015年09月03日,多云/阴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
1707,2015年09月04日,小到中雨/中到大雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
1708,2015年09月05日,小到中雨/阴,22℃/17℃,无持续风向≤3级/无持续风向≤3级
1709,2015年09月06日,多云/晴,27℃/17℃,无持续风向≤3级/无持续风向≤3级
1710,2015年09月07日,晴/晴,29℃/17℃,无持续风向≤3级/无持续风向≤3级
1711,2015年09月08日,多云/阴,27℃/18℃,无持续风向≤3级/无持续风向≤3级
1712,2015年09月09日,阴/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
1713,2015年09月10日,小雨/小雨,22℃/14℃,无持续风向≤3级/无持续风向≤3级
1714,2015年09月11日,多云/多云,22℃/15℃,无持续风向≤3级/北风3-4级
1715,2015年09月12日,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级
1716,2015年09月13日,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
1717,2015年09月14日,晴/多云,26℃/14℃,无持续风向≤3级/无持续风向≤3级
1718,2015年09月15日,晴/晴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
1719,2015年09月16日,晴/多云,27℃/16℃,无持续风向≤3级/无持续风向≤3级
1720,2015年09月17日,霾/阵雨,27℃/18℃,无持续风向≤3级/无持续风向≤3级
1721,2015年09月18日,阴/晴,28℃/16℃,无持续风向≤3级/无持续风向≤3级
1722,2015年09月19日,晴/晴,27℃/15℃,无持续风向≤3级/无持续风向≤3级
1723,2015年09月20日,多云/晴,28℃/17℃,南风3-4级/无持续风向≤3级
1724,2015年09月21日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
1725,2015年09月22日,阵雨/阴,26℃/14℃,南风3-4级/无持续风向≤3级
1726,2015年09月23日,晴/雾,26℃/17℃,无持续风向≤3级/无持续风向≤3级
1727,2015年09月24日,阴/雷阵雨,26℃/16℃,无持续风向≤3级/无持续风向≤3级
1728,2015年09月25日,晴/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
1729,2015年09月26日,晴/晴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
1730,2015年09月27日,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
1731,2015年09月28日,小雨/小雨,17℃/14℃,无持续风向≤3级/无持续风向≤3级
1732,2015年09月29日,小雨/阴,17℃/13℃,无持续风向≤3级/无持续风向≤3级
1733,2015年09月30日,阵雨/小到中雨,20℃/14℃,无持续风向≤3级/北风4-5级
1734,2015年10月01日,晴/晴,22℃/10℃,北风5-6级/无持续风向≤3级
1735,2015年10月02日,晴/晴,26℃/12℃,无持续风向≤3级/无持续风向≤3级
1736,2015年10月03日,晴/晴,25℃/12℃,无持续风向≤3级/无持续风向≤3级
1737,2015年10月04日,晴/晴,25℃/13℃,无持续风向≤3级/无持续风向≤3级
1738,2015年10月05日,晴/晴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
1739,2015年10月06日,霾/雾,25℃/16℃,无持续风向≤3级/无持续风向≤3级
1740,2015年10月07日,霾/晴,25℃/13℃,无持续风向≤3级/北风4-5级
1741,2015年10月08日,晴/晴,19℃/7℃,北风4-5级/无持续风向≤3级
1742,2015年10月09日,晴/晴,20℃/8℃,北风4-5级/北风3-4级
1743,2015年10月10日,晴/多云,17℃/10℃,北风4-5级/北风3-4级
1744,2015年10月11日,多云/晴,22℃/8℃,北风4-5级/无持续风向≤3级
1745,2015年10月12日,晴/晴,23℃/9℃,无持续风向≤3级/无持续风向≤3级
1746,2015年10月13日,晴/阴,26℃/11℃,无持续风向≤3级/无持续风向≤3级
1747,2015年10月14日,多云/多云,22℃/10℃,无持续风向≤3级/无持续风向≤3级
1748,2015年10月15日,晴/晴,25℃/12℃,无持续风向≤3级/无持续风向≤3级
1749,2015年10月16日,霾/阴,25℃/12℃,无持续风向≤3级/无持续风向≤3级
1750,2015年10月17日,霾/霾,23℃/13℃,无持续风向≤3级/北风3-4级
1751,2015年10月18日,晴/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
1752,2015年10月19日,晴/阴,21℃/12℃,无持续风向≤3级/无持续风向≤3级
1753,2015年10月20日,小雨/小雨,14℃/10℃,无持续风向≤3级/无持续风向≤3级
1754,2015年10月21日,小雨/小雨,12℃/9℃,无持续风向≤3级/无持续风向≤3级
1755,2015年10月22日,小雨/阴,11℃/8℃,无持续风向≤3级/无持续风向≤3级
1756,2015年10月23日,多云/晴,18℃/8℃,无持续风向≤3级/无持续风向≤3级
1757,2015年10月24日,晴/多云,18℃/7℃,无持续风向≤3级/无持续风向≤3级
1758,2015年10月25日,多云/小雨,15℃/9℃,无持续风向≤3级/无持续风向≤3级
1759,2015年10月26日,阴/晴,15℃/6℃,北风3-4级/北风3-4级
1760,2015年10月27日,晴/晴,17℃/4℃,北风3-4级/无持续风向≤3级
1761,2015年10月28日,晴/晴,15℃/5℃,无持续风向≤3级/北风3-4级
1762,2015年10月29日,晴/晴,12℃/3℃,北风4-5级/北风3-4级
1763,2015年10月30日,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
1764,2015年10月31日,晴/晴,15℃/2℃,无持续风向≤3级/无持续风向≤3级
1765,2015年11月01日,晴/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级
1766,2015年11月02日,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级
1767,2015年11月03日,霾/多云,17℃/5℃,南风3-4级/无持续风向≤3级
1768,2015年11月04日,霾/小雨,16℃/9℃,无持续风向≤3级/无持续风向≤3级
1769,2015年11月05日,小雨/雨夹雪,11℃/2℃,无持续风向≤3级/无持续风向≤3级
1770,2015年11月06日,雨夹雪/雨夹雪,4℃/1℃,无持续风向≤3级/无持续风向≤3级
1771,2015年11月07日,阴/小雨,7℃/4℃,无持续风向≤3级/无持续风向≤3级
1772,2015年11月08日,阴/晴,10℃/1℃,无持续风向≤3级/无持续风向≤3级
1773,2015年11月09日,晴/雾,13℃/3℃,无持续风向≤3级/无持续风向≤3级
1774,2015年11月10日,霾/雾,8℃/4℃,无持续风向≤3级/无持续风向≤3级
1775,2015年11月11日,霾/雾,8℃/6℃,无持续风向≤3级/无持续风向≤3级
1776,2015年11月12日,霾/小雨,9℃/6℃,无持续风向≤3级/无持续风向≤3级
1777,2015年11月13日,阴/雾,9℃/6℃,无持续风向≤3级/无持续风向≤3级
1778,2015年11月14日,霾/雾,10℃/7℃,无持续风向≤3级/无持续风向≤3级
1779,2015年11月15日,霾/小雨,12℃/6℃,无持续风向≤3级/无持续风向≤3级
1780,2015年11月16日,多云/多云,9℃/1℃,无持续风向≤3级/无持续风向≤3级
1781,2015年11月17日,多云/雨夹雪,11℃/2℃,无持续风向≤3级/无持续风向≤3级
1782,2015年11月18日,阴/小雨,6℃/2℃,无持续风向≤3级/无持续风向≤3级
1783,2015年11月19日,小雨/雨夹雪,5℃/1℃,无持续风向≤3级/无持续风向≤3级
1784,2015年11月20日,雨夹雪/中雪,3℃/-1℃,无持续风向≤3级/无持续风向≤3级
1785,2015年11月21日,中到大雪/中雪,1℃/-2℃,无持续风向≤3级/无持续风向≤3级
1786,2015年11月22日,大雪/小雪,-1℃/-4℃,无持续风向≤3级/无持续风向≤3级
1787,2015年11月23日,阴/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
1788,2015年11月24日,小雪/阴,-2℃/-8℃,无持续风向≤3级/无持续风向≤3级
1789,2015年11月25日,阴/晴,-1℃/-9℃,北风4-5级/北风4-5级
1790,2015年11月26日,晴/多云,0℃/-8℃,北风3-4级/无持续风向≤3级
1791,2015年11月27日,多云/霾,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
1792,2015年11月28日,霾/雾,2℃/-4℃,无持续风向≤3级/无持续风向≤3级
1793,2015年11月29日,霾/霾,4℃/-5℃,无持续风向≤3级/无持续风向≤3级
1794,2015年11月30日,霾/雾,4℃/-3℃,无持续风向≤3级/无持续风向≤3级
1795,2015年12月01日,霾/霾,2℃/-3℃,无持续风向≤3级/北风3-4级
1796,2015年12月02日,晴/晴,4℃/-3℃,北风4-5级/北风3-4级
1797,2015年12月03日,晴/晴,2℃/-4℃,北风5-6级/北风3-4级
1798,2015年12月04日,晴/晴,6℃/-4℃,北风3-4级/无持续风向≤3级
1799,2015年12月05日,晴/多云,6℃/-3℃,无持续风向≤3级/无持续风向≤3级
1800,2015年12月06日,霾/小雪,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
1801,2015年12月07日,霾/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
1802,2015年12月08日,霾/雨夹雪,4℃/1℃,无持续风向≤3级/无持续风向≤3级
1803,2015年12月09日,霾/雾,3℃/1℃,无持续风向≤3级/无持续风向≤3级
1804,2015年12月10日,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级
1805,2015年12月11日,晴/多云,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
1806,2015年12月12日,多云/多云,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
1807,2015年12月13日,霾/小雪,4℃/-1℃,无持续风向≤3级/无持续风向≤3级
1808,2015年12月14日,阴/晴,7℃/-2℃,北风3-4级/北风3-4级
1809,2015年12月15日,晴/晴,4℃/-3℃,北风4-5级/北风3-4级
1810,2015年12月16日,晴/晴,2℃/-7℃,北风4-5级/北风3-4级
1811,2015年12月17日,晴/晴,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
1812,2015年12月18日,晴/晴,6℃/-5℃,无持续风向≤3级/无持续风向≤3级
1813,2015年12月19日,霾/霾,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
1814,2015年12月20日,霾/雾,4℃/-5℃,无持续风向≤3级/无持续风向≤3级
1815,2015年12月21日,霾/雾,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
1816,2015年12月22日,霾/雾,4℃/-5℃,无持续风向≤3级/无持续风向≤3级
1817,2015年12月23日,雾/多云,6℃/-5℃,无持续风向≤3级/无持续风向≤3级
1818,2015年12月24日,晴/霾,5℃/-6℃,无持续风向≤3级/无持续风向≤3级
1819,2015年12月25日,霾/霾,4℃/-4℃,无持续风向≤3级/无持续风向≤3级
1820,2015年12月26日,雾/多云,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
1821,2015年12月27日,小雪/多云,-1℃/-7℃,无持续风向≤3级/无持续风向≤3级
1822,2015年12月28日,晴/多云,2℃/-6℃,无持续风向≤3级/无持续风向≤3级
1823,2015年12月29日,霾/霾,4℃/-4℃,无持续风向≤3级/无持续风向≤3级
1824,2015年12月30日,晴/晴,5℃/-6℃,北风3-4级/无持续风向≤3级
1825,2015年12月31日,晴/晴,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
1826,2016年01月01日,霾/霾,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
1827,2016年01月02日,霾/雾,7℃/-5℃,无持续风向≤3级/无持续风向≤3级
1828,2016年01月03日,霾/霾,4℃/-3℃,无持续风向≤3级/无持续风向≤3级
1829,2016年01月04日,多云/多云,2℃/-6℃,北风3-4级/无持续风向≤3级
1830,2016年01月05日,晴/晴,1℃/-7℃,北风3-4级/无持续风向≤3级
1831,2016年01月06日,晴/晴,3℃/-6℃,北风3-4级/北风3-4级
1832,2016年01月07日,晴/晴,2℃/-7℃,北风3-4级/无持续风向≤3级
1833,2016年01月08日,晴/晴,2℃/-8℃,北风3-4级/无持续风向≤3级
1834,2016年01月09日,晴/晴,3℃/-6℃,无持续风向≤3级/无持续风向≤3级
1835,2016年01月10日,多云/多云,1℃/-8℃,无持续风向≤3级/无持续风向≤3级
1836,2016年01月11日,晴/晴,-1℃/-8℃,无持续风向≤3级/无持续风向≤3级
1837,2016年01月12日,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
1838,2016年01月13日,晴/多云,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
1839,2016年01月14日,多云/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
1840,2016年01月15日,霾/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
1841,2016年01月16日,阴/小雪,-1℃/-6℃,无持续风向≤3级/无持续风向≤3级
1842,2016年01月17日,晴/晴,-2℃/-10℃,北风3-4级/北风3-4级
1843,2016年01月18日,晴/晴,-4℃/-13℃,北风3-4级/无持续风向≤3级
1844,2016年01月19日,晴/霾,-2℃/-10℃,无持续风向≤3级/无持续风向≤3级
1845,2016年01月20日,多云/霾,-2℃/-8℃,无持续风向≤3级/无持续风向≤3级
1846,2016年01月21日,小雪/阴,-2℃/-10℃,无持续风向≤3级/北风3-4级
1847,2016年01月22日,多云/晴,-6℃/-17℃,北风4-5级/北风3-4级
1848,2016年01月23日,晴/晴,-11℃/-14℃,北风5-6级/北风4-5级
1849,2016年01月24日,晴/晴,-3℃/-11℃,北风4-5级/无持续风向≤3级
1850,2016年01月25日,晴/晴,3℃/-8℃,北风3-4级/北风3-4级
1851,2016年01月26日,晴/晴,2℃/-9℃,北风3-4级/无持续风向≤3级
1852,2016年01月27日,晴/多云,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
1853,2016年01月28日,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
1854,2016年01月29日,晴/阴,0℃/-7℃,无持续风向≤3级/无持续风向≤3级
1855,2016年01月30日,多云/晴,-3℃/-10℃,无持续风向≤3级/无持续风向≤3级
1856,2016年01月31日,晴/晴,1℃/-9℃,北风3-4级/无持续风向≤3级
1857,2016年02月01日,晴/晴,4℃/-8℃,无持续风向≤3级/无持续风向≤3级
1858,2016年02月02日,晴/晴,5℃/-7℃,无持续风向≤3级/无持续风向≤3级
1859,2016年02月03日,晴/晴,6℃/-5℃,无持续风向≤3级/无持续风向≤3级
1860,2016年02月04日,多云/晴,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
1861,2016年02月05日,晴/晴,4℃/-4℃,北风3-4级/北风3-4级
1862,2016年02月06日,晴/晴,6℃/-6℃,无持续风向≤3级/无持续风向≤3级
1863,2016年02月07日,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级
1864,2016年02月08日,晴/晴,12℃/-3℃,北风3-4级/无持续风向≤3级
1865,2016年02月09日,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
1866,2016年02月10日,霾/阴,9℃/-1℃,无持续风向≤3级/无持续风向≤3级
1867,2016年02月11日,小雨/雾,6℃/-1℃,无持续风向≤3级/无持续风向≤3级
1868,2016年02月12日,小雨/雨夹雪,10℃/2℃,无持续风向≤3级/北风3-4级
1869,2016年02月13日,阴/多云,4℃/-6℃,北风5-6级/北风4-5级
1870,2016年02月14日,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级
1871,2016年02月15日,晴/晴,5℃/-4℃,北风3-4级/无持续风向≤3级
1872,2016年02月16日,晴/晴,8℃/-4℃,北风3-4级/无持续风向≤3级
1873,2016年02月17日,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级
1874,2016年02月18日,晴/阴,9℃/-2℃,北风4-5级/无持续风向≤3级
1875,2016年02月19日,多云/晴,8℃/-5℃,北风3-4级/无持续风向≤3级
1876,2016年02月20日,晴/晴,4℃/-6℃,北风3-4级/无持续风向≤3级
1877,2016年02月21日,晴/多云,6℃/-4℃,无持续风向≤3级/无持续风向≤3级
1878,2016年02月22日,晴/晴,8℃/-3℃,北风3-4级/北风3-4级
1879,2016年02月23日,晴/晴,4℃/-6℃,北风3-4级/无持续风向≤3级
1880,2016年02月24日,晴/多云,7℃/-4℃,无持续风向≤3级/无持续风向≤3级
1881,2016年02月25日,多云/晴,6℃/-5℃,无持续风向≤3级/无持续风向≤3级
1882,2016年02月26日,多云/多云,8℃/-2℃,无持续风向≤3级/无持续风向≤3级
1883,2016年02月27日,多云/阴,7℃/-3℃,无持续风向≤3级/无持续风向≤3级
1884,2016年02月28日,多云/晴,8℃/-4℃,北风4-5级/北风4-5级
1885,2016年02月29日,多云/晴,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
1886,2016年03月01日,晴/晴,10℃/-2℃,无持续风向≤3级/无持续风向≤3级
1887,2016年03月02日,晴/霾,17℃/2℃,无持续风向≤3级/无持续风向≤3级
1888,2016年03月03日,霾/霾,17℃/4℃,无持续风向≤3级/无持续风向≤3级
1889,2016年03月04日,霾/霾,12℃/4℃,无持续风向≤3级/北风3-4级
1890,2016年03月05日,晴/晴,12℃/-1℃,北风4-5级/无持续风向≤3级
1891,2016年03月06日,多云/晴,11℃/-2℃,无持续风向≤3级/无持续风向≤3级
1892,2016年03月07日,晴/晴,12℃/-1℃,北风3-4级/北风3-4级
1893,2016年03月08日,多云/阴,6℃/-2℃,北风3-4级/北风3-4级
1894,2016年03月09日,多云/晴,5℃/-4℃,无持续风向≤3级/北风3-4级
1895,2016年03月10日,晴/晴,7℃/-4℃,北风3-4级/无持续风向≤3级
1896,2016年03月11日,晴/晴,8℃/-2℃,无持续风向≤3级/无持续风向≤3级
1897,2016年03月12日,多云/晴,9℃/1℃,无持续风向≤3级/北风3-4级
1898,2016年03月13日,晴/晴,12℃/-2℃,北风3-4级/无持续风向≤3级
1899,2016年03月14日,晴/多云,15℃/3℃,无持续风向≤3级/无持续风向≤3级
1900,2016年03月15日,多云/霾,15℃/2℃,无持续风向≤3级/无持续风向≤3级
1901,2016年03月16日,霾/霾,17℃/6℃,无持续风向≤3级/无持续风向≤3级
1902,2016年03月17日,霾/雾,18℃/6℃,无持续风向≤3级/无持续风向≤3级
1903,2016年03月18日,霾/多云,21℃/4℃,无持续风向≤3级/无持续风向≤3级
1904,2016年03月19日,多云/多云,16℃/3℃,无持续风向≤3级/无持续风向≤3级
1905,2016年03月20日,多云/晴,16℃/4℃,无持续风向≤3级/无持续风向≤3级
1906,2016年03月21日,晴/阴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
1907,2016年03月22日,阴/多云,14℃/5℃,无持续风向≤3级/北风3-4级
1908,2016年03月23日,晴/晴,15℃/2℃,北风3-4级/无持续风向≤3级
1909,2016年03月24日,晴/晴,15℃/3℃,无持续风向≤3级/无持续风向≤3级
1910,2016年03月25日,晴/晴,15℃/4℃,无持续风向≤3级/北风3-4级
1911,2016年03月26日,晴/晴,19℃/5℃,北风3-4级/无持续风向≤3级
1912,2016年03月27日,晴/晴,21℃/5℃,无持续风向≤3级/无持续风向≤3级
1913,2016年03月28日,多云/浮尘,22℃/8℃,北风3-4级/北风3-4级
1914,2016年03月29日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
1915,2016年03月30日,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
1916,2016年03月31日,晴/浮尘,24℃/14℃,南风3-4级/北风3-4级
1917,2016年04月01日,晴/多云,23℃/11℃,北风3-4级/北风3-4级
1918,2016年04月02日,多云/阴,18℃/8℃,北风3-4级/北风3-4级
1919,2016年04月03日,多云/晴,18℃/6℃,无持续风向≤3级/无持续风向≤3级
1920,2016年04月04日,晴/多云,22℃/8℃,无持续风向≤3级/无持续风向≤3级
1921,2016年04月05日,晴/霾,24℃/11℃,南风3-4级/南风3-4级
1922,2016年04月06日,阵雨/阵雨,22℃/12℃,无持续风向≤3级/无持续风向≤3级
1923,2016年04月07日,晴/晴,24℃/9℃,北风3-4级/北风3-4级
1924,2016年04月08日,晴/晴,25℃/10℃,南风3-4级/无持续风向≤3级
1925,2016年04月09日,晴/晴,26℃/8℃,无持续风向≤3级/无持续风向≤3级
1926,2016年04月10日,晴/晴,19℃/5℃,无持续风向≤3级/无持续风向≤3级
1927,2016年04月11日,阴/小雨,17℃/8℃,无持续风向≤3级/无持续风向≤3级
1928,2016年04月12日,多云/多云,20℃/8℃,无持续风向≤3级/无持续风向≤3级
1929,2016年04月13日,晴/晴,26℃/10℃,北风3-4级/北风3-4级
1930,2016年04月14日,晴/多云,24℃/10℃,无持续风向≤3级/无持续风向≤3级
1931,2016年04月15日,阵雨/小雨,23℃/13℃,无持续风向≤3级/北风3-4级
1932,2016年04月16日,多云/晴,22℃/11℃,北风4-5级/北风3-4级
1933,2016年04月17日,晴/阴,20℃/10℃,北风3-4级/北风3-4级
1934,2016年04月18日,晴/阴,21℃/8℃,北风3-4级/无持续风向≤3级
1935,2016年04月19日,小雨/多云,15℃/9℃,无持续风向≤3级/无持续风向≤3级
1936,2016年04月20日,多云/晴,26℃/10℃,无持续风向≤3级/无持续风向≤3级
1937,2016年04月21日,晴/晴,30℃/15℃,北风3-4级/北风4-5级
1938,2016年04月22日,晴/晴,25℃/10℃,北风3-4级/无持续风向≤3级
1939,2016年04月23日,晴/晴,23℃/8℃,无持续风向≤3级/无持续风向≤3级
1940,2016年04月24日,晴/晴,27℃/16℃,南风3-4级/南风3-4级
1941,2016年04月25日,晴/多云,29℃/14℃,南风3-4级/无持续风向≤3级
1942,2016年04月26日,多云/阴,24℃/13℃,无持续风向≤3级/无持续风向≤3级
1943,2016年04月27日,阴/阴,18℃/12℃,无持续风向≤3级/无持续风向≤3级
1944,2016年04月28日,晴/多云,26℃/13℃,南风3-4级/无持续风向≤3级
1945,2016年04月29日,多云/晴,28℃/15℃,无持续风向≤3级/无持续风向≤3级
1946,2016年04月30日,霾/霾,31℃/15℃,无持续风向≤3级/无持续风向≤3级
1947,2016年05月01日,霾/雷阵雨,32℃/17℃,无持续风向≤3级/北风3-4级
1948,2016年05月02日,阵雨/多云,22℃/10℃,北风4-5级/北风3-4级
1949,2016年05月03日,晴/晴,27℃/10℃,北风4-5级/无持续风向≤3级
1950,2016年05月04日,多云/阵雨,28℃/15℃,无持续风向≤3级/无持续风向≤3级
1951,2016年05月05日,多云/晴,27℃/14℃,北风4-5级/北风4-5级
1952,2016年05月06日,晴/晴,25℃/12℃,北风4-5级/无持续风向≤3级
1953,2016年05月07日,晴/晴,26℃/12℃,无持续风向≤3级/无持续风向≤3级
1954,2016年05月08日,晴/阴,27℃/15℃,南风3-4级/无持续风向≤3级
1955,2016年05月09日,小雨/多云,22℃/12℃,无持续风向≤3级/无持续风向≤3级
1956,2016年05月10日,晴/多云,27℃/17℃,无持续风向≤3级/无持续风向≤3级
1957,2016年05月11日,多云/雷阵雨,29℃/19℃,无持续风向≤3级/北风3-4级
1958,2016年05月12日,多云/晴,23℃/9℃,北风4-5级/北风3-4级
1959,2016年05月13日,晴/小雨,25℃/13℃,无持续风向≤3级/无持续风向≤3级
1960,2016年05月14日,小雨/阴,15℃/11℃,无持续风向≤3级/北风3-4级
1961,2016年05月15日,多云/晴,24℃/10℃,北风4-5级/无持续风向≤3级
1962,2016年05月16日,晴/晴,30℃/15℃,南风3-4级/无持续风向≤3级
1963,2016年05月17日,晴/晴,31℃/17℃,无持续风向≤3级/无持续风向≤3级
1964,2016年05月18日,晴/多云,28℃/18℃,无持续风向≤3级/无持续风向≤3级
1965,2016年05月19日,晴/霾,29℃/15℃,无持续风向≤3级/无持续风向≤3级
1966,2016年05月20日,霾/霾,30℃/16℃,无持续风向≤3级/无持续风向≤3级
1967,2016年05月21日,霾/晴,30℃/15℃,无持续风向≤3级/无持续风向≤3级
1968,2016年05月22日,多云/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
1969,2016年05月23日,阵雨/阵雨,24℃/13℃,无持续风向≤3级/无持续风向≤3级
1970,2016年05月24日,多云/阵雨,29℃/17℃,南风3-4级/北风3-4级
1971,2016年05月25日,多云/多云,30℃/17℃,南风3-4级/北风3-4级
1972,2016年05月26日,晴/晴,30℃/16℃,北风4-5级/无持续风向≤3级
1973,2016年05月27日,晴/多云,31℃/18℃,南风3-4级/无持续风向≤3级
1974,2016年05月28日,多云/多云,30℃/18℃,无持续风向≤3级/北风3-4级
1975,2016年05月29日,晴/晴,31℃/18℃,北风3-4级/无持续风向≤3级
1976,2016年05月30日,多云/阴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
1977,2016年05月31日,多云/多云,29℃/17℃,无持续风向≤3级/无持续风向≤3级
1978,2016年06月01日,多云/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
1979,2016年06月02日,晴/多云,31℃/18℃,南风3-4级/无持续风向≤3级
1980,2016年06月03日,阴/阴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
1981,2016年06月04日,阴/多云,29℃/19℃,无持续风向≤3级/无持续风向≤3级
1982,2016年06月05日,阴/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
1983,2016年06月06日,多云/小到中雨,31℃/19℃,无持续风向≤3级/无持续风向≤3级
1984,2016年06月07日,阵雨/晴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
1985,2016年06月08日,多云/霾,31℃/19℃,无持续风向≤3级/无持续风向≤3级
1986,2016年06月09日,阴/雷阵雨,32℃/22℃,南风3-4级/南风3-4级
1987,2016年06月10日,雷阵雨/晴,32℃/20℃,北风3-4级/无持续风向≤3级
1988,2016年06月11日,晴/多云,30℃/18℃,北风3-4级/无持续风向≤3级
1989,2016年06月12日,多云/阴,32℃/20℃,无持续风向≤3级/无持续风向≤3级
1990,2016年06月13日,雷阵雨/中到大雨,25℃/18℃,无持续风向≤3级/无持续风向≤3级
1991,2016年06月14日,雷阵雨/阵雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
1992,2016年06月15日,晴/晴,30℃/17℃,无持续风向≤3级/无持续风向≤3级
1993,2016年06月16日,晴/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级
1994,2016年06月17日,多云/雷阵雨,32℃/20℃,无持续风向≤3级/无持续风向≤3级
1995,2016年06月18日,多云/晴,32℃/20℃,无持续风向≤3级/无持续风向≤3级
1996,2016年06月19日,多云/雷阵雨,35℃/23℃,无持续风向≤3级/无持续风向≤3级
1997,2016年06月20日,雷阵雨/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
1998,2016年06月21日,雷阵雨/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
1999,2016年06月22日,雷阵雨/雷阵雨,35℃/23℃,无持续风向≤3级/无持续风向≤3级
2000,2016年06月23日,阴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级
2001,2016年06月24日,晴/晴,33℃/22℃,北风3-4级/无持续风向≤3级
2002,2016年06月25日,晴/晴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
2003,2016年06月26日,晴/阴,36℃/24℃,南风3-4级/南风3-4级
2004,2016年06月27日,雷阵雨/中雨,33℃/21℃,无持续风向≤3级/无持续风向≤3级
2005,2016年06月28日,雷阵雨/雷阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
